﻿unique_identifier,checkmark_completed,status,century,year_to_display,year_to_sort,place,revolt_name,description,encoded_description,citations,resource_links,video_link,latitude,longitude,lat-long_precision,presentation_folder,notes,remediation,graphic_artists
e9UsHy,TRUE,,800,869-883,869,"Lower Mesopotamia, Iraq",Zanj Rebellion,"869-883 Thousands of Africans working in the salt mines revolted in three separate rebellions that inflected major defeats on the Arabs that lasted fourteen years. The war ended in 883 with the promise of amnesty and a number of beheadings,""those Africans who had defected to the Caliph's army were not returned to slavery."" An estimated 2.5 million people died during the war. Over 14 million African slaves were exported to Muslim regions.","Thousands of Africans working in the salt mines revolted in three separate rebellions that inflected major defeats on the Arabs that lasted fourteen years. The war ended in 883 with the promise of amnesty and a number of beheadings, ""those Africans who had defected to the Caliph's army were not returned to slavery."" An estimated 2.5 million people died during the war. Over 14 million African slaves were exported to Muslim regions.","David Brion. Challenging the Boundaries of Slavery. Harvard University Press, 2006 and Gatetheroot.com",https://youtu.be/OneYxSozCgg,,31.436,49.0413,Precise,,No folder,,
oxybY9,TRUE,,1500,1522,1522,Dominican Republic,,"This revolt was led by the Wolof from Senegal in present day Dominican Republic; one of the most serious revolts in Hispaniola . ""The uprising started on December 25, 1522, four miles from Santo Domingo on the sugar plantation of Admiral Don Diego Colon, the viceroy of the Indies and Christopher Columbus's son(Insert Image1). The date had been carefully chosen as usually on that day the Spaniards were drunk or tired from the festivities of the night before (Insert image2). The Wolof insurgents met with a group of about twenty men from other plantations, armed with the machetes they used to cut cane, they killed nine whites and burned fields(Insert Image3). Although defeated, the rebellion had instilled tremendous fear in Spanish colonists and they took measures to guard themselves from people who were most involved in the uprising"" ...by passing anti -Muslim and anti Wolof legislation.","This revolt was led by the Wolof from Senegal in present day Dominican Republic; one of the most serious revolts in Hispaniola . ""The uprising started on December 25, 1522, four miles from Santo Domingo on the sugar plantation of Admiral Don Diego Colon, the viceroy of the Indies and Christopher Columbus's son <img src=""/image1"">. The date had been carefully chosen as usually on that day the Spaniards were drunk or tired from the festivities of the night before. <img src=""/image2"">The Wolof insurgents met with a group of about twenty men from other plantations, armed with the machetes they used to cut cane, they killed nine whites and burned fields. <img src=""/image3"">Although defeated, the rebellion had instilled tremendous fear in Spanish colonists and they took measures to guard themselves from people who were most involved in the uprising"" ...by passing anti -Muslim and anti Wolof legislation.","Image 1:https://commons.wikimedia.org/wiki/File:Diego_Colon.jpg Diego Colón, first son of Christopher Columbus, 16th century.(Public domain) Image 2: Slaves from Guinea digging for gold and silver in mines in Hispaniola - America (1595) https://commons.wikimedia.org/wiki/File:Slaves_from_Guinea_digging_for_gold_and_silver_in_mines_in_Hispaniola_-_America_(1595),_A2_-_BL.jpg Image 3: purchased from Alamy","Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez, eds. Greenwood Press: 2006 pp. 250-251",,18.4861,-69.9312,Approximate,https://drive.google.com/drive/folders/1frxKcRZvUyX-qPzpAmqoNHqXMt8I9aJY?usp=sharing,,,
EkyRkm,TRUE,,1500,1526,1526,"Sapelo Island, Georgia",1526 Sapelo Island Resistance,(insertimage)This was the first European settlement on the mainland thereby making this the first slave revolt in North America.The Spanish fled and the Africans joined forces with the Indigenous population(insert Image1).,"<img src=""/image1""> This was the first European settlement on the mainland thereby making this the first slave revolt in North America.The Spanish fled and the Africans joined forces with the Indigenous population.","“Sapelo Island.” Official Georgia Tourism &amp; Travel Website | Explore Georgia.Org, 23 May 2023, www.exploregeorgia.org/city/sapelo-island.",not found,,33.4213,-79.2902,Precise,https://drive.google.com/drive/folders/1e3TwaYnejKYMtdC_UXzSrYl_DdxzINUg?usp=sharing,,,
YDboZH,TRUE,,1500,1527,1527,Puerto Rico,1527 Puerto Rico Revolt,"(insertimage)The 1527 slave revolt in Puerto Rico stands out in the island's history. Christopher Columbus tried to appease the whites by being harsh on the Africans and Indians; there were many ill-fated revolts, but this one was significant. The rebellion was led by an enslaved African named Guamaní, originally from the Gold Coast (present-day Ghana). Guamaní organized this revolt with a group of enslaved people and the indigenous Taino. They attacked the Spanish settlement of San Germán, killing several colonizers and burning down buildings. The rebels then moved on to attack other settlements in the region. However, the Spanish authorities quickly responded to the rebellion, sending troops to suppress the uprising. The rebels were defeated after several battles; many were captured, forty slaves were shot, and many fled the island. Despite the revolt's failure, it was a powerful symbol of resistance against slavery and oppression. The legacy of Guamaní and the other rebels has inspired subsequent generations of Puerto Ricans to fight for justice and equality. .","<img src=""/image1""> The 1527 slave revolt in Puerto Rico stands out in the island's history. Christopher Columbus tried to appease the whites by being harsh on the Africans and Indians; there were many ill-fated revolts, but this one was significant. The rebellion was led by an enslaved African named Guamaní, originally from the Gold Coast (present-day Ghana). Guamaní organized this revolt with a group of enslaved people and the indigenous Taino. They attacked the Spanish settlement of San Germán, killing several colonizers and burning down buildings. The rebels then moved on to attack other settlements in the region. However, the Spanish authorities quickly responded to the rebellion, sending troops to suppress the uprising. The rebels were defeated after several battles; many were captured, forty slaves were shot, and many fled the island. Despite the revolt's failure, it was a powerful symbol of resistance against slavery and oppression. The legacy of Guamaní and the other rebels has inspired subsequent generations of Puerto Ricans to fight for justice and equality. .","Image 2: Originally published/produced in London : Thomas Clay, 1823. mage taken from Ten Views in the Island of Antigua, in which are represented the process of sugar making, and the employment of the negroes. From drawings made by W. Clark, etc. File:Digging the Cane-Holes - Ten Views in the Island of Antigua (1823 ..., commons.wikimedia.org/wiki/File:Digging_the_Cane-holes_-_Ten_Views_in_the_Island_of_Antigua_(1823),_plate_II_-_BL.jpg. Accessed 23 May 2023.","https://commons.wikimedia.org/wiki/File:Digging_the_Cane-holes_-_Ten_Views_in_the_Island_of_Antigua_(1823),_plate_II_-_BL.jpg (Public domain)",,18.2208,-66.5901,Precise,https://drive.google.com/drive/folders/1aoynsE4pGqujRfHgGwgz2kQcd_Wo9NUW?usp=sharing,,,
II1AUT,TRUE,,1500,1532,1532,Venezuela,,"The 1532 slave revolt in Venezuela was an uprising by enslaved Africans who were brought to the colony by the Spanish to work in the fields and mines. The rebellion was led by an enslaved African named Juan de Bolas, who had been a chieftain in his homeland before being captured and enslaved. During the revolt, Juan de Bolas and his followers attacked and killed Spanish settlers and soldiers, burned down buildings, and seized control of towns and plantations. The rebellion lasted for several months before being brutally suppressed by Spanish forces.The revolt was one of the earliest and most significant slave uprisings in the Americas and is considered a precursor to other slave revolts that would occur in the centuries that followed.","The 1532 slave revolt in Venezuela was an uprising by enslaved Africans who were brought to the colony by the Spanish to work in the fields and mines. The rebellion was led by an enslaved African named Juan de Bolas, who had been a chieftain in his homeland before being captured and enslaved. During the revolt, Juan de Bolas and his followers attacked and killed Spanish settlers and soldiers, burned down buildings, and seized control of towns and plantations. The rebellion lasted for several months before being brutally suppressed by Spanish forces.The revolt was one of the earliest and most significant slave uprisings in the Americas and is considered a precursor to other slave revolts that would occur in the centuries that followed.","1532 Slave Revolt in Venezuela."" Encyclopedia of African American History, edited by Leslie Alexander and Walter Rucker, vol. 1, ABC-CLIO, 2010, pp. 238-239",https://www.globalafricanworker.com/content/afro-venezuelan-struggles-constitutional-recognition,,11.3946,-69.681,Approximate,https://drive.google.com/drive/folders/1gfcZy-FogArAxiu7rbwAWuuRwa4Ajvq-?usp=sharing,,,
jZoMw1,TRUE,,1500,1537,1537,Mexico City,Mexcio City Revolt,"Slave conspiracies in Mexico City, New Spain where the Africans had chosen a King and decided to kill all the Spanairds and take the land. Indigenous people were also involved. The plot was discovered and suppressed before manifesting. (Insert Image)","Slave conspiracies in Mexico City, New Spain where the Africans had chosen a King and decided to kill all the Spanairds and take the land. Indigenous people were also involved. The plot was discovered and suppressed before manifesting. <img src=""/image1"">","Image1: taken from America.- Part V.- Latin. Originally published/produced in Frankfurt, 1595 (1617 ?) Public domain.",http://nationalhumanitiescenter.org/pds/amerbegin/settlement/text6/SlavePlotMexico.pdf,,19.4326,-99.1332,Precise,https://drive.google.com/drive/folders/1pRAO75XE0nljmxgiyfA7wkFLn9N6QnDD?usp=sharing,,,
LMrDV5,TRUE,,1500,1552,1552,"Buria, Venezuela",,"The 1552 slave revolt in Buria, Venezuela, was one of the earliest and largest slave rebellions in the Americas, lasting over three years. El Negro Miguel led the revolt with a group of enslaved Africans brought to the area to work on sugar plantations. Miguel escaped slavery after the master tried to punish him; he grabbed the sword and fought back. (Insert Image 2) Miguel founded a settlement populated by Africans and Indigenous peoples, called a Cimarrón or Cumbe (escaped slave). He proclaimed himself the King, taking a queen, Guiomar, and establishing draconian rules to maintain order. Due to its location, it became necessary to wage attacks on small farms and plantations to acquire food and supplies. (image 3) Miguel would build an army of up to 1,500 people. The rebellion began on July 26, 1552, and quickly spread throughout the region; the settlement would be sieged with battles throughout his reign. (Image 4) The slaves seized control of several plantations and fought against Spanish troops sent to suppress the rebellion. In 1554, they captured a town, and killed a priest and six others. The revolt's aftermath was brutal, with many slaves being executed or forced to flee into the surrounding wilderness. After the killing of Miguel, many of the enslaved lost hope; most were executed, and the women and children were sent to surrounding plantations. (Images 5 & 6)","The 1552 slave revolt in Buria, Venezuela, was one of the earliest and largest slave rebellions in the Americas, lasting over three years. El Negro Miguel led the revolt with a group of enslaved Africans brought to the area to work on sugar plantations. Miguel escaped slavery after the master tried to punish him; he grabbed the sword and fought back. <img src=""/image2""> Miguel founded a settlement populated by Africans and Indigenous peoples, called a Cimarrón or Cumbe (escaped slave). He proclaimed himself the King, taking a queen, Guiomar, and establishing draconian rules to maintain order. Due to its location, it became necessary to wage attacks on small farms and plantations to acquire food and supplies. <img src=""/image3""> Miguel would build an army of up to 1,500 people. The rebellion began on July 26, 1552, and quickly spread throughout the region; the settlement would be sieged with battles throughout his reign. <img src=""/image4""> The slaves seized control of several plantations and fought against Spanish troops sent to suppress the rebellion. In 1554, they captured a town, and killed a priest and six others. The revolt's aftermath was brutal, with many slaves being executed or forced to flee into the surrounding wilderness. After the killing of Miguel, many of the enslaved lost hope; most were executed, and the women and children were sent to surrounding plantations. <img src=""/image5""> <img src=""/image6"">","image1: http://leopoldest.blogspot.com/2016/11/pedro-centeno-vallenilla-pintor-de-la.html https://en.wikipedia.org/wiki/Afro-Venezuelan and https://www.globalafricanworker.com/content/afro-venezuelan-struggles-constitutional-recognition and https://tvamediapro.wordpress.com/2018/02/20/el-rey-miguel-y-su-reina-guiomar/ Image 1 Public DomainImage; Image 2 Library Company of Philadelphia Image 3 Public Domain 4,Public Domain Image 5 Public Domain Image 6 Statue at Plaza Negro Miguel, El Cuadrado, Barquisimeto, Venezuela. B.B. Wagner, Slave Turned King: The Rule of Miguel de Buria of Venezuela, https://www.ancient-origins.net/history-famous-people/miguel-de-buria-0014059",not yet found,,10.0115,-68.8065,Precise,https://drive.google.com/drive/folders/1OfbBeiQlICkYy0I6K8nhud1a32Ch_l7Z?usp=sharing,,,
giUSw4,TRUE,,1500,1570,1570,"Veracruz, Mexico",,"(Insert Image) Gasper Yanga, a descendant of royalty from Gabon, led a revolt against the Spanish in 1570. There were a series of uprisings between 1540 and 1600 against the Spanish crown, but what distinguishes this one is that it successfully created a settlement of freed Africans, the first one in the Americas, established in 1630. At its peak, there were up to 500 African and Indian settlers in the Maroon that was initially named San Lorenzo de los Negros and renamed Yanga in 1932. The Spanish made many failed attempts to subdue the Africans, leading to a treaty signed in 1608 that held, among other things, that those in the settlement at that time would remain free, but anyone coming after 1608 would be returned to their masters.","<img src=""/image1""> Gasper Yanga, a descendant of royalty from Gabon, led a revolt against the Spanish in 1570. There were a series of uprisings between 1540 and 1600 against the Spanish crown, but what distinguishes this one is that it successfully created a settlement of freed Africans, the first one in the Americas, established in 1630. At its peak, there were up to 500 African and Indian settlers in the Maroon that was initially named San Lorenzo de los Negros and renamed Yanga in 1932. The Spanish made many failed attempts to subdue the Africans, leading to a treaty signed in 1608 that held, among other things, that those in the settlement at that time would remain free, but anyone coming after 1608 would be returned to their masters.",image1: http://leopoldest.blogspot.com/2016/11/pedro-centeno-vallenilla-pintor-de-la.html,https://atlantablackstar.com/2016/05/19/watch-how-afro-mexican-freedom-fighter-gaspar-yanga-help-freed-enslaved-africans-in-mexico-in-this-animated-web-series/,,19.1738,-96.1342,Precise,https://drive.google.com/drive/folders/1Hp6YjsmrOH8cUh5tI9Vu_b08MsoPuC8L?usp=sharing,,,
9XaHr1,TRUE,,1500,1596,1596,Colombia,,"Benkos Bioho organized a slave revolt involving nearly three dozen people. The rebellion included his wife, Wiwa, and a grown daughter, Orika, among thirty others he led deep into the forest. They formed and defended one of the longest-lasting maroon settlements in the Americas, San Basilio de Palenque, near Cartagena. (Insert image) They launched several attacks on Spanish settlements and plantations, freeing other slaves and recruiting them into their community. The Spanish authorities led military campaigns to suppress the revolt but could not capture Bioho Eventually, they offered him and his followers a pardon if they surrendered. The Spanish reneged and executed Bioho.","Benkos Bioho organized a slave revolt involving nearly three dozen people. The rebellion included his wife, Wiwa, and a grown daughter, Orika, among thirty others he led deep into the forest. They formed and defended one of the longest-lasting maroon settlements in the Americas, San Basilio de Palenque, near Cartagena. <img src=""/image1""> They launched several attacks on Spanish settlements and plantations, freeing other slaves and recruiting them into their community. The Spanish authorities led military campaigns to suppress the revolt but could not capture Bioho Eventually, they offered him and his followers a pardon if they surrendered. The Spanish reneged and executed Bioho.","https://revista.drclas.harvard.edu/book/african-and-afro-indian-rebel-leaders-latin-america-con-tanta-arrogancia Herbert S. Klein, African Slavery in Latin America and the Caribbean New York: Oxford University Press, 1986.",,,4.5709,-74.2973,Approximate,https://drive.google.com/drive/folders/1BMXDOZK_F8H9Su8ch9DAuEZLLG-axhAB?usp=sharing,,,
WinENz,TRUE,,1600,1612,1612,Mexico City,,"There were several uprisings in Mexico, one leading the way for another. In 1611 an African woman was killed from the cruelty of her master. In response, the African Brotherhood, a confraternity of Africans, carried her body in the funeral procession. At this point, rumors began that all white men would be killed and the women kept as concubines. The Spanish responded with harsh restrictions on the Black Mexicans, restricting movement and the ability to assemble. This event became the precursor to the 1612 plot; when munitions were found among the enslaved, the executions began. Thirty-five blacks, including seven women, were publicly hanged in the central plaza of Mexico City for plotting an uprising of enslaved Black people to overthrow Spanish power in Mexico, 24 were beheaded, and some were quartered and their bodies left to rot in the streets (Insert image).","There were several uprisings in Mexico, one leading the way for another. In 1611 an African woman was killed from the cruelty of her master. In response, the African Brotherhood, a confraternity of Africans, carried her body in the funeral procession. At this point, rumors began that all white men would be killed and the women kept as concubines. The Spanish responded with harsh restrictions on the Black Mexicans, restricting movement and the ability to assemble. This event became the precursor to the 1612 plot; when munitions were found among the enslaved, the executions began. Thirty-five blacks, including seven women, were publicly hanged in the central plaza of Mexico City for plotting an uprising of enslaved Black people to overthrow Spanish power in Mexico, 24 were beheaded, and some were quartered and their bodies left to rot in the streets <img src=""/image1"">.","Andrew J. Torget and Nicole von Germenten in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez ,eds. Greenwood Press: 2006, pp. 319-322.",,,19.4326,-99.1332,Precise,https://drive.google.com/drive/folders/1VqUAswwYQmaicvj_Vs5ayhc-j7pQrFJb?usp=sharing,,,Angela Davis Johnson
